,DepMap_ID
389825,ACH-002167
390254,ACH-002168
390738,ACH-002169
391133,ACH-002170
391649,ACH-002171
391904,ACH-002174
392557,ACH-002175
392737,ACH-002176
393080,ACH-002177
393440,ACH-002178
394069,ACH-002179
394737,ACH-002180
395296,ACH-002181
395851,ACH-002182
396339,ACH-002183
396964,ACH-002186
397592,ACH-002187
398079,ACH-002188
398565,ACH-002189
399051,ACH-002190
399538,ACH-002191
400123,ACH-002192
400604,ACH-002194
401275,ACH-002195
401923,ACH-002196
402495,ACH-002197
403125,ACH-002198
403683,ACH-002199
404310,ACH-002200
404878,ACH-002201
405372,ACH-002202
405837,ACH-002204
406016,ACH-002205
406646,ACH-002206
407272,ACH-002207
407843,ACH-002208
408158,ACH-002209
408831,ACH-002210
409494,ACH-002211
410153,ACH-002212
410690,ACH-002213
411301,ACH-002214
411966,ACH-002215
412364,ACH-002216
413029,ACH-002218
413688,ACH-002220
414040,ACH-002221
414609,ACH-002222
415272,ACH-002223
415452,ACH-002224
415990,ACH-002225
416663,ACH-002226
417196,ACH-002227
417845,ACH-002228
418371,ACH-002229
418938,ACH-002230
419486,ACH-002231
420002,ACH-002232
420675,ACH-002234
421290,ACH-002235
421956,ACH-002236
422618,ACH-002237
423291,ACH-002238
423964,ACH-002240
424621,ACH-002241
425287,ACH-002242
425951,ACH-002243
426498,ACH-002244
427122,ACH-002245
427726,ACH-002246
428239,ACH-002247
428820,ACH-002248
429481,ACH-002249
429975,ACH-002250
430604,ACH-002251
431000,ACH-002252
431655,ACH-002253
432281,ACH-002254
432729,ACH-002255
433335,ACH-002256
433998,ACH-002257
434672,ACH-002258
435338,ACH-002259
435902,ACH-002261
436347,ACH-002262
437008,ACH-002263
437637,ACH-002264
438269,ACH-002265
438939,ACH-002266
439609,ACH-002267
440275,ACH-002268
440899,ACH-002269
441341,ACH-002271
441897,ACH-002272
442561,ACH-002273
443227,ACH-002274
443898,ACH-002275
444571,ACH-002276
445033,ACH-002277
445695,ACH-002278
446367,ACH-002279
446885,ACH-002280
447544,ACH-002281
448200,ACH-002282
448692,ACH-002283
449264,ACH-002284
449807,ACH-002285
450477,ACH-002286
450518,ACH-002288
451161,ACH-002289
451484,ACH-002290
452039,ACH-002292
452626,ACH-002293
453290,ACH-002294
453817,ACH-002295
454333,ACH-002296
454680,ACH-002297
455285,ACH-002298
455814,ACH-002299
456380,ACH-002300
457043,ACH-002301
457700,ACH-002302
458302,ACH-002304
458927,ACH-002305
459548,ACH-002306
459961,ACH-002307
460526,ACH-002308
460871,ACH-002309
461544,ACH-002310
462218,ACH-002311
462868,ACH-002312
463518,ACH-002313
464165,ACH-002314
464835,ACH-002316
465490,ACH-002317
466044,ACH-002345
466668,ACH-002397
